1,Bánovce nad Bebravou,BN,301
2,Banská Bystrica,BB,601
3,Banská Štiavnica,BS,602
4,Bardejov,BJ,701
5,Bratislava I,"BA, BL",101
6,Bratislava II,"BA, BL",102
7,Bratislava III,"BA, BL",103
8,Bratislava IV,"BA, BL",104
9,Bratislava V,"BA, BL",105
10,Brezno,BR,603
11,Bytča,BY,501
12,Čadca,CA,502
13,Detva,DT,604
14,Dolný Kubín,DK,503
15,Dunajská Streda,DS,201
16,Galanta,GA,202
17,Gelnica,GL,801
18,Hlohovec,HC,203
19,Humenné,HE,702
20,Ilava,IL,302
21,Kežmarok,KK,703
22,Komárno,KN,401
23,Košice I,KE,802
24,Košice II,KE,803
25,Košice III,KE,804
26,Košice IV,KE,805
27,Košice-okolie,KS,806
28,Krupina,KA,605
29,Kysucké Nové Mesto,KM,504
30,Levice,LV,402
31,Levoča,LE,704
32,Liptovský Mikuláš,LM,505
33,Lučenec,LC,606
34,Malacky,MA,106
35,Martin,MT,506
36,Medzilaborce,ML,705
37,Michalovce,MI,807
38,Myjava,MY,303
39,Námestovo,NO,507
40,Nitra,NR,403
41,Nové Mesto nad Váhom,NM,304
42,Nové Zámky,NZ,404
43,Partizánske,PE,305
44,Pezinok,PK,107
45,Piešťany,PN,204
46,Poltár,PT,607
47,Poprad,PP,706
48,Považská Bystrica,PB,306
49,Prešov,PO,707
50,Prievidza,PD,307
51,Púchov,PU,308
52,Revúca,RA,608
53,Rimavská Sobota,RS,609
54,Rožňava,RV,808
55,Ružomberok,RK,508
56,Sabinov,SB,708
57,Senec,SC,108
58,Senica,SE,205
59,Skalica,SI,206
60,Snina,SV,709
61,Sobrance,SO,809
62,Spišská Nová Ves,SN,810
63,Stará Ľubovňa,SL,710
64,Stropkov,SP,711
65,Svidník,SK,712
66,Šaľa,SA,405
67,Topoľčany,TO,406
68,Trebišov,TV,811
69,Trenčín,TN,309
70,Trnava,TT,207
71,Turčianske Teplice,TR,509
72,Tvrdošín,TS,510
73,Veľký Krtíš,VK,610
74,Vranov nad Topľou,VT,713
75,Zlaté Moravce,ZM,407
76,Zvolen,ZV,611
77,Žarnovica,ZC,612
78,Žiar nad Hronom,ZH,613
79,Žilina,ZA,511